shipment_id,carrier,mode,origin_port,dest_port,season,distance_km,planned_transit_days,origin_congestion_idx,dest_congestion_idx,customs_complexity,num_customs_stops,weather_risk,carrier_reliability_score,shipment_value_usd,is_hazmat,num_prior_shipments_route,is_delayed,delay_days
SHP100000,CMA_CGM,Sea,Rotterdam,Tokyo,Q4,12052.1,23.1,0.926,0.464,0.608,0,0.065,0.75,325563.64,1,7,1,15.58
SHP100001,ONE_Line,Sea,Los_Angeles,Sydney,Q1,19406.9,38.6,0.579,0.247,0.939,3,0.196,0.72,1438.51,0,8,0,0.0
SHP100002,MaerskLine,Air,Hong_Kong,Tokyo,Q2,2759.4,4.2,0.6,0.309,0.623,0,0.064,0.85,7086.13,0,12,0,0.0
SHP100003,Evergreen,Road,Shanghai,Santos,Q1,1574.9,6.6,0.4,0.27,0.249,2,0.077,0.7,6238.59,0,12,1,5.48
SHP100004,CMA_CGM,Sea,Busan,New_York,Q3,5753.5,12.2,0.259,0.134,0.168,0,0.558,0.75,12369.85,0,9,0,0.0
SHP100005,Hapag_Lloyd,Sea,Hamburg,Tokyo,Q4,2076.6,5.9,0.303,0.464,0.242,3,0.816,0.82,131935.8,0,10,0,0.0
SHP100006,MaerskLine,Air,Ningbo,Le_Havre,Q2,18531.5,7.8,0.523,0.401,0.258,0,0.817,0.85,30675.05,0,12,0,0.0
SHP100007,ONE_Line,Sea,Hamburg,Felixstowe,Q4,19891.9,37.7,0.303,1.034,0.018,1,0.366,0.72,95322.69,0,12,1,10.43
SHP100008,MaerskLine,Sea,Busan,Sydney,Q3,15080.5,31.3,0.259,0.284,0.331,3,0.306,0.85,3447.71,0,8,0,0.0
SHP100009,MSC,Road,Shanghai,Vancouver,Q1,496.2,4.0,0.4,0.52,0.553,0,0.42,0.78,5101.25,0,2,1,9.35
SHP100010,MSC,Sea,Dubai,Sydney,Q3,9579.2,20.0,0.168,0.284,0.287,1,0.037,0.78,152604.27,0,6,0,0.0
SHP100011,COSCO,Sea,Singapore,Durban,Q2,1300.8,4.6,0.775,0.3,0.434,1,0.184,0.68,1781.55,0,6,0,0.0
SHP100012,MaerskLine,Road,Dubai,Mumbai,Q2,2217.1,5.2,0.132,0.221,0.566,0,0.12,0.85,8529.43,0,4,0,0.0
SHP100013,ONE_Line,Sea,Dubai,Durban,Q2,19008.3,38.2,0.132,0.3,0.261,0,0.933,0.72,22164.33,0,16,0,0.0
SHP100014,ONE_Line,Sea,Rotterdam,Long_Beach,Q3,7062.8,15.8,0.788,1.007,0.385,1,0.261,0.72,21508.96,0,9,1,8.63
SHP100015,Hapag_Lloyd,Sea,Dubai,Tokyo,Q1,5145.6,11.5,0.146,0.343,0.534,1,0.298,0.82,1998.01,0,9,1,9.45
SHP100016,Evergreen,Sea,Hong_Kong,Durban,Q3,19920.7,37.4,0.766,0.383,0.737,3,0.837,0.7,199030.28,0,8,0,0.0
SHP100017,Hapag_Lloyd,Rail,Hamburg,Felixstowe,Q1,1196.2,5.5,0.225,0.766,0.249,0,0.434,0.82,5024.56,0,10,0,0.0
SHP100018,MSC,Sea,Busan,Sydney,Q1,19862.8,37.3,0.225,0.247,0.554,3,0.455,0.78,47351.25,0,8,0,0.0
SHP100019,COSCO,Sea,Los_Angeles,Sydney,Q3,10953.9,21.8,0.666,0.284,0.814,1,0.911,0.68,152546.3,1,6,1,16.2
SHP100020,ONE_Line,Road,Shanghai,New_York,Q2,206.8,1.8,0.36,0.105,0.014,0,0.692,0.72,27067.19,0,9,0,0.0
SHP100021,MSC,Sea,Antwerp,Tokyo,Q2,10214.2,21.0,0.714,0.309,0.831,1,0.968,0.78,1863.94,0,14,1,12.55
SHP100022,MaerskLine,Road,Los_Angeles,Durban,Q4,2542.1,7.9,0.782,0.45,0.066,0,0.621,0.85,8817.38,0,11,0,0.0
SHP100023,Hapag_Lloyd,Sea,Hong_Kong,Sydney,Q1,11199.9,23.0,0.666,0.247,0.356,1,0.33,0.82,7551.46,0,5,1,10.73
SHP100024,Evergreen,Sea,Hamburg,Durban,Q4,7693.8,16.4,0.303,0.45,0.747,0,0.252,0.7,79228.99,0,7,0,0.0
SHP100025,MaerskLine,Road,Hamburg,Durban,Q2,447.3,4.5,0.202,0.3,0.594,2,0.087,0.85,27519.2,0,9,0,0.0
SHP100026,Evergreen,Sea,Antwerp,Tokyo,Q1,2064.6,6.3,0.793,0.343,0.41,1,0.398,0.7,368362.43,0,9,0,0.0
SHP100027,CMA_CGM,Sea,Los_Angeles,New_York,Q4,2739.3,7.8,0.782,0.157,0.289,1,0.481,0.75,26783.37,0,6,0,0.0
SHP100028,ONE_Line,Sea,Shanghai,Mumbai,Q2,15046.5,29.6,0.36,0.221,0.933,1,0.379,0.72,284559.18,0,10,0,0.0
SHP100029,MSC,Road,Dubai,Vancouver,Q2,2709.0,7.8,0.132,0.468,0.54,1,0.355,0.78,11486.1,0,7,0,0.0
SHP100030,CMA_CGM,Rail,Hamburg,Le_Havre,Q1,2150.2,7.6,0.225,0.446,0.143,0,0.714,0.75,21245.26,0,8,0,0.0
SHP100031,CMA_CGM,Air,Rotterdam,Santos,Q4,14465.5,6.0,0.926,0.364,0.827,1,0.227,0.75,13926.95,0,7,0,0.0
SHP100032,CMA_CGM,Rail,Antwerp,Le_Havre,Q2,2741.0,6.9,0.714,0.401,0.236,0,0.186,0.75,166865.73,0,8,0,0.0
SHP100033,MSC,Road,Singapore,Tokyo,Q2,1494.4,6.5,0.775,0.309,0.587,0,0.913,0.78,4862.75,0,5,1,3.03
SHP100034,COSCO,Sea,Antwerp,New_York,Q3,12110.0,23.2,0.912,0.134,0.75,0,0.898,0.68,3754.98,0,5,0,0.0
SHP100035,ONE_Line,Rail,Los_Angeles,New_York,Q4,2599.2,9.0,0.782,0.157,0.373,0,0.644,0.72,12738.77,0,5,0,0.0
SHP100036,Hapag_Lloyd,Air,Ningbo,Mumbai,Q3,17805.5,6.6,0.668,0.282,0.721,2,0.807,0.82,353590.91,1,7,0,0.0
SHP100037,MaerskLine,Road,Los_Angeles,Durban,Q3,1201.1,5.0,0.666,0.383,0.268,1,0.552,0.85,15014.31,0,8,0,0.0
SHP100038,MSC,Air,Dubai,Le_Havre,Q2,13078.6,5.2,0.132,0.401,0.132,1,0.683,0.78,152588.99,0,7,0,0.0
SHP100039,MSC,Air,Ningbo,Mumbai,Q3,11679.2,6.1,0.668,0.282,0.404,1,0.354,0.78,345159.9,0,9,1,9.41
SHP100040,Evergreen,Sea,Rotterdam,Santos,Q3,17005.0,34.8,0.788,0.31,0.155,1,0.344,0.7,9038.43,0,5,1,19.07
SHP100041,MaerskLine,Road,Dubai,New_York,Q3,351.4,4.5,0.168,0.134,0.758,3,0.981,0.85,247751.84,0,7,0,0.0
SHP100042,Evergreen,Air,Ningbo,Felixstowe,Q4,2748.0,2.9,0.784,1.034,0.795,1,0.455,0.7,25200.21,0,14,1,31.31
SHP100043,CMA_CGM,Road,Singapore,Felixstowe,Q3,2994.0,7.5,0.99,0.881,0.767,1,0.628,0.75,207329.1,1,7,1,8.5
SHP100044,ONE_Line,Sea,Shanghai,Le_Havre,Q4,2926.5,9.2,0.54,0.602,0.798,0,0.589,0.72,397910.78,0,9,0,0.0
SHP100045,MSC,Rail,Hamburg,Mumbai,Q1,1926.4,5.5,0.225,0.245,0.518,0,0.525,0.78,5225.99,0,11,0,0.0
SHP100046,CMA_CGM,Road,Hong_Kong,Le_Havre,Q3,2000.2,6.3,0.766,0.512,0.087,1,0.26,0.75,84163.84,0,6,0,0.0
